County,Sub County
Baringo,Baringo Central
Baringo,Baringo North
Baringo,Baringo South
Baringo,Eldama Ravine
Baringo,Mogotio
Baringo,Tiaty
Bomet,Bomet Central
Bomet,Bomet East
Bomet,Chepalungu
Bomet,Konoin
Bomet,Sotik
Bungoma,Bumula
Bungoma,Kabuchai
Bungoma,Kanduyi
Bungoma,Kimilili
Bungoma,Mt. Elgon
Bungoma,Sirisia
Bungoma,Tongaren
Bungoma,Webuye East
Bungoma,Webuye West
Busia,Budalangi
Busia,Butula
Busia,Funyula
Busia,Nambale
Busia,Teso North
Busia,Teso South
Elgeyo-Marakwet,Keiyo North
Elgeyo-Marakwet,Keiyo South
Elgeyo-Marakwet,Marakwet East
Elgeyo-Marakwet,Marakwet West
Embu,Embu East
Embu,Embu North
Embu,Embu West
Embu,Mbeere North
Embu,Mbeere South
Garissa,Balambala
Garissa,Dadaab
Garissa,Fafi
Garissa,Garissa Township
Garissa,Hulugho
Garissa,Ijara
Garissa,Lagdera
Homa Bay,Homa Bay Town
Homa Bay,Kabondo Kasipul
Homa Bay,Karachuonyo
Homa Bay,Kasipul
Homa Bay,Mbita
Homa Bay,Ndhiwa
Homa Bay,Rachuonyo East
Homa Bay,Rachuonyo North
Homa Bay,Rangwe
Homa Bay,Suba South
Isiolo,Garbatulla
Isiolo,Isiolo
Isiolo,Merti
Kajiado,Kajiado Central
Kajiado,Kajiado East
Kajiado,Kajiado North
Kajiado,Kajiado South
Kajiado,Kajiado West
Kakamega,Butere
Kakamega,Ikolomani
Kakamega,Kakamega Central
Kakamega,Kakamega East
Kakamega,Kakamega North
Kakamega,Kakamega South
Kakamega,Lugari
Kakamega,Likuyani
Kakamega,Lurambi
Kakamega,Matungu
Kakamega,Mumias East
Kakamega,Mumias West
Kakamega,Navakholo
Kericho,Ainamoi
Kericho,Belgut
Kericho,Bureti
Kericho,Kipkelion East
Kericho,Kipkelion West
Kericho,Soin Sigowet
Kiambu,Gatundu North
Kiambu,Gatundu South
Kiambu,Githunguri
Kiambu,Juja
Kiambu,Kabete
Kiambu,Kiambaa
Kiambu,Kiambu Town
Kiambu,Kikuyu
Kiambu,Limuru
Kiambu,Lari
Kiambu,Ruiru
Kiambu,Thika Town
Kilifi,Bahari
Kilifi,Chonyi
Kilifi,Ganze
Kilifi,Kaloleni
Kilifi,Kauma
Kilifi,Kilifi North
Kilifi,Kilifi South
Kilifi,Magarini
Kilifi,Malindi
Kilifi,Rabai
Kirinyaga,Kirinyaga Central
Kirinyaga,Kirinyaga East
Kirinyaga,Kirinyaga West
Kirinyaga,Mwea East
Kirinyaga,Mwea West
Kisii,Bonchari
Kisii,Kitutu Chache North
Kisii,Kitutu Chache South
Kisii,Nyaribari Chache
Kisii,Nyaribari Masaba
Kisii,Bobasi
Kisii,Bomachoge Borabu
Kisii,Bomachoge Chache
Kisii,South Mugirango
Kisumu,Kisumu East
Kisumu,Kisumu West
Kisumu,Kisumu Central
Kisumu,Muhoroni
Kisumu,Nyakach
Kisumu,Nyando
Kisumu,Seme
Kitui,Kitui Central
Kitui,Kitui East
Kitui,Kitui Rural
Kitui,Kitui South
Kitui,Kitui West
Kitui,Mwingi Central
Kitui,Mwingi North
Kitui,Mwingi West
Kwale,Kinango
Kwale,Lunga Lunga
Kwale,Matuga
Kwale,Msambweni
Laikipia,Laikipia East
Laikipia,Laikipia North
Laikipia,Laikipia West
Lamu,Lamu East
Lamu,Lamu West
Machakos,Kathiani
Machakos,Machakos Town
Machakos,Masinga
Machakos,Mavoko
Machakos,Matungulu
Machakos,Mwala
Machakos,Yatta
Makueni,Kaiti
Makueni,Kibwezi East
Makueni,Kibwezi West
Makueni,Kilome
Makueni,Makueni
Makueni,Mbooni
Mandera,Banissa
Mandera,Kutulo
Mandera,Lafey
Mandera,Mandera East
Mandera,Mandera North
Mandera,Mandera South
Mandera,Mandera West
Marsabit,Laisamis
Marsabit,Moyale
Marsabit,North Horr
Marsabit,Saku
Meru,Buuri
Meru,Igembe Central
Meru,Igembe North
Meru,Igembe South
Meru,Imenti North
Meru,Imenti South
Meru,Tigania East
Meru,Tigania West
Migori,Awendo
Migori,Kuria East
Migori,Kuria West
Migori,Nyatike
Migori,Rongo
Migori,Suna East
Migori,Suna West
Migori,Uriri
Mombasa,Changamwe
Mombasa,Jomvu
Mombasa,Kisauni
Mombasa,Likoni
Mombasa,Mvita
Mombasa,Nyali
Murang'a,Gatanga
Murang'a,Kahuro
Murang'a,Kandara
Murang'a,Kangema
Murang'a,Kigumo
Murang'a,Kiharu
Murang'a,Mathioya
Murang'a,Murang'a South
Nairobi,Embakasi Central
Nairobi,Embakasi East
Nairobi,Embakasi North
Nairobi,Embakasi South
Nairobi,Embakasi West
Nairobi,Kamukunji
Nairobi,Kasarani
Nairobi,Kibra
Nairobi,Lang'ata
Nairobi,Makadara
Nairobi,Mathare
Nairobi,Ruaraka
Nairobi,Starehe
Nairobi,Westlands
Nairobi,Dagoretti North
Nairobi,Dagoretti South
Nakuru,Bahati
Nakuru,Gilgil
Nakuru,Kuresoi North
Nakuru,Kuresoi South
Nakuru,Molo
Nakuru,Naivasha
Nakuru,Nakuru East
Nakuru,Nakuru Town West
Nakuru,Njoro
Nakuru,Rongai
Nakuru,Subukia
Nandi,Aldai
Nandi,Chesumei
Nandi,Emgwen
Nandi,Mosop
Nandi,Nandi Hills
Nandi,Tindiret
Narok,Emurua Dikirr
Narok,Kilgoris
Narok,Narok East
Narok,Narok North
Narok,Narok South
Narok,Narok West
Nyamira,Borabu
Nyamira,Manga
Nyamira,Masaba North
Nyamira,Nyamira North
Nyamira,Nyamira South
Nyandarua,Kinangop
Nyandarua,Kipipiri
Nyandarua,Ndaragwa
Nyandarua,Ol Kalou
Nyandarua,Ol Jorok
Nyeri,Kieni East
Nyeri,Kieni West
Nyeri,Mathira East
Nyeri,Mathira West
Nyeri,Mukurweini
Nyeri,Nyeri Central
Nyeri,Tetu
Samburu,Samburu Central
Samburu,Samburu East
Samburu,Samburu North
Siaya,Alego Usonga
Siaya,Bondo
Siaya,Gem
Siaya,Rarieda
Siaya,Ugenya
Siaya,Ugunja
Taita-Taveta,Mwatate
Taita-Taveta,Taveta
Taita-Taveta,Voi
Taita-Taveta,Wundanyi
Tana River,Bura
Tana River,Galole
Tana River,Garsen
Tharaka-Nithi,Chuka/Igambang'ombe
Tharaka-Nithi,Maara
Tharaka-Nithi,Tharaka North
Tharaka-Nithi,Tharaka South
Trans-Nzoia,Cherangany
Trans-Nzoia,Endebess
Trans-Nzoia,Kiminini
Trans-Nzoia,Kwanza
Trans-Nzoia,Saboti
Turkana,Turkana Central
Turkana,Turkana East
Turkana,Turkana North
Turkana,Turkana South
Turkana,Turkana West
Turkana,Loima
Uasin Gishu,Ainabkoi
Uasin Gishu,Kapseret
Uasin Gishu,Kesses
Uasin Gishu,Moiben
Uasin Gishu,Soy
Uasin Gishu,Turbo
Vihiga,Emuhaya
Vihiga,Hamisi
Vihiga,Luanda
Vihiga,Sabatia
Vihiga,Vihiga
Wajir,Eldas
Wajir,Tarbaj
Wajir,Wajir East
Wajir,Wajir North
Wajir,Wajir South
Wajir,Wajir West
West Pokot,Kacheliba
West Pokot,Kapenguria
West Pokot,Pokot South
West Pokot,Sigor
